Fold,Euclidean Original - Protected,Euclidean Original - Reconstructed,Hausdorff Original - Protected,Hausdorff Original - Reconstructed,Jaccard Original - Protected,Jaccard Original - Reconstructed
1,13663.719813418506,14679.793444796998,22690.164344503588,14880.503865872848,0.0,0.0
1,45854.68849741726,14711.792001977568,105466.33213288759,15516.63618829364,3.413155808673341e-06,0.0
1,37811.332316164204,2873.992196749244,67573.65963336662,3408.388958592779,0.0,0.0
1,38740.100927845866,5888.862015372957,87647.90391002508,6667.392192561584,3.1066534677044313e-06,0.0
1,51158.313386930145,14861.815929239228,106032.80745240218,15916.355242725016,1.5985354809741275e-06,0.0
1,67245.39743111534,11965.366769107073,120777.05878881148,33756.360788286685,2.5115758281721064e-08,0.0
1,52737.134559194245,15136.59470875501,97489.34616812896,15265.875551386744,0.00012114567600576214,0.0
1,46205.924477701796,4009.3886780222856,90304.84704111936,6627.929774421781,8.592477521348957e-06,0.0
1,46084.178233597006,1032.7046390223522,83982.79424336221,1212.124859123654,0.0,0.0
1,35327.13260683889,2402.9321560763815,67746.73766062404,3421.8974982417626,6.369371162506935e-06,0.0
1,49713.218216459245,1573.2073545658284,105017.31615164712,1759.5115863764438,3.246876475317963e-05,0.0
1,64386.7579447833,1015.5090642826576,109106.82241871611,1404.7612900028219,1.0395758193636316e-05,0.0
1,61955.729948996515,2448.1817605402275,130873.08931625154,3018.224440896453,0.0,0.0
1,45536.69322137672,2323.803761695566,91820.70777544212,3071.092843560686,1.139282817987485e-05,0.0
1,41793.541553171795,18564.82236184279,71576.80397016971,19687.71090951037,0.0004204182242745193,0.0
1,24685.696881521777,2196.2264889921353,45240.12281454629,2591.801465266557,5.830276584224849e-05,0.0
1,69182.50313843136,1774.31274809594,118920.81817695918,6078.09164534765,4.945513524719346e-06,0.006829563227465376
1,108496.0469919371,2445.310015302544,178712.3583450841,3046.692138586746,7.142000146752229e-06,0.0
1,28376.074225811775,3870.7261270985746,67734.1131578192,6320.119123073285,4.4348906304612744e-06,0.0
1,60036.54497669325,1218.4393761068811,116921.39955809199,1329.8602207854995,2.7737007325753054e-05,0.0
1,50237.061948614566,1479.76645107167,122400.09184179855,2108.8476543025076,2.500151931861476e-05,0.0
1,66153.10852523327,2649.0294182932957,143171.34262008022,3700.401753368187,2.0717192738627004e-05,0.0
1,53182.33803774432,4566.130548867688,95867.88547334906,38859.649681361465,3.650028241121745e-05,0.0
1,24626.98715368374,2030.2113846743032,71846.13233855189,2895.8068427258763,1.2432529748740221e-05,0.0
1,35456.25369395397,3359.4593057717207,75421.75495554718,4646.240978868498,1.0221724193857576e-05,0.0
1,96603.95645063384,3098.6423926617836,175678.81161815004,17934.52101353715,9.674925605713438e-06,0.0
1,48079.53495503287,2182.8937570081266,82808.6241979581,2651.8334848048903,1.6657858048249514e-05,0.0
1,70671.39591401063,3134.8014703465365,158295.40813303637,6119.337213005478,0.0001661520965859766,0.020262425420725462
1,59297.693154316104,11588.782459674847,111143.17483855208,12819.385004966662,7.353567468441428e-06,0.0
1,44328.765355341005,11256.560912303486,77070.83333733348,11563.086267853163,3.221544415293837e-05,0.0
1,15394.952578887132,3875.1319763888737,35609.72704566052,4582.1880436925685,7.548620974906527e-08,0.0
1,54866.58976448778,1604.902280059944,96406.4742662713,1796.0858714043052,0.0,0.0
1,15648.842253411605,19394.49657682224,43803.83327179979,19692.66337448498,1.2005728591125464e-05,0.0
